QualifyingAreaName,TotalPopulation,Female,White_Male,White_Female,FreeColoredPopulation,FreeColored_Female,Slave_Male,FreePersons,FreePersons_White_Male,FreePersons_ColoredPersons,FreePersons_ColoredPersons_Female,SlavePopulation_Female,DisabledWhite_DeafandDumb,InsaneandIdioticPersons_AtPublicCharge,PersonsEmployedinMining,PersonsEmployedinCommerce,PersonsEmployedinOceanNavigation,PersonsEmployedEngineersProfessional,CollegeUniversityStudents,PrimaryCommonSchoolStudents,Male,WhitePopulation,FreeColored_Male,SlavePopulation,Slave_Female,FreePersons_White,FreePersons_White_Female,FreePersons_ColoredPersons_Male,SlavePopulation_Male,DisabledWhite,InsaneandIdioticPersons,InsaneandIdioticPersons_AtPrivateCharge,PersonsEmployedinAgriculture,PersonsEmployedinManufacturingTrade,PersonsEmployedinLandNavigation,PensionersofRevolutionaryWarorMilitaryService,AcademyGrammarSchoolStudents
"Alachua County, Florida Territory",2282,688,1289,430,1,0,304,1720,1289,1,0,258,0,0,0,11,0,4,0,0,1594,1719,1,562,258,1719,430,1,304,0,0,0,204,0,0,0,0
"Columbia County, Florida Territory",2102,975,879,770,3,2,247,1652,879,3,2,203,2,0,0,0,0,0,0,61,1127,1649,1,450,203,1649,770,1,247,2,0,0,623,0,0,0,0
"Dade County, Florida Territory",446,122,305,107,4,1,16,416,305,4,1,14,0,0,0,3,1,1,0,28,324,412,3,30,14,412,107,3,16,0,0,0,44,6,0,0,0
"Duval County, Florida Territory",4156,1733,1455,795,105,56,919,2355,1455,105,56,882,0,0,0,0,6,10,0,75,2423,2250,49,1801,882,2250,795,49,919,1,2,2,387,0,0,1,0
"Escambia County, Florida Territory",3993,1817,1334,996,307,174,709,2637,1334,307,174,647,0,1,0,55,71,22,0,82,2176,2330,133,1356,647,2330,996,133,709,5,4,3,103,383,2,2,100
"Franklin County, Florida Territory",1030,314,584,198,26,4,110,808,584,26,4,112,0,0,0,97,169,5,0,0,716,782,22,222,112,782,198,22,110,0,0,0,13,55,98,0,0
"Calhoun County, Florida Territory",1142,457,461,244,17,10,217,722,461,17,10,203,0,0,0,61,33,10,0,24,685,705,7,420,203,705,244,7,217,1,0,0,73,64,3,0,12
"Gadsden County, Florida Territory",5992,2932,1372,1265,13,8,1683,2650,1372,13,8,1659,0,0,0,25,0,23,0,0,3060,2637,5,3342,1659,2637,1265,5,1683,4,5,5,1851,39,0,0,336
"Hamilton County, Florida Territory",1464,701,552,482,3,0,208,1037,552,3,0,219,0,0,0,4,0,0,0,12,763,1034,3,427,219,1034,482,3,208,0,0,0,540,4,0,1,0
"Hillsborough County, Florida Territory",452,75,372,65,2,2,5,439,372,2,2,8,0,0,NA,NA,NA,NA,0,0,377,437,0,13,8,437,65,0,5,0,0,0,NA,NA,NA,0,0
"Jackson County, Florida Territory",4681,2224,1099,903,43,19,1334,2045,1099,43,19,1302,3,0,NA,NA,NA,NA,0,75,2457,2002,24,2636,1302,2002,903,24,1334,6,0,0,NA,NA,NA,1,25
"Jefferson County, Florida Territory",5713,2721,1209,953,2,0,1781,2164,1209,2,0,1768,1,0,0,35,0,29,0,94,2992,2162,2,3549,1768,2162,953,2,1781,2,4,4,2989,87,0,0,90
"Leon County, Florida Territory",10713,5009,2007,1454,21,3,3679,3482,2007,21,3,3552,0,0,0,125,7,48,0,100,5704,3461,18,7231,3552,3461,1454,18,3679,0,0,0,3980,352,13,1,41
"Madison County, Florida Territory",2644,1211,800,642,0,0,633,1442,800,0,0,569,2,0,1,6,0,12,0,74,1433,1442,0,1202,569,1442,642,0,633,2,4,4,704,58,0,0,0
"Monroe County, Florida Territory",688,283,327,189,76,38,40,592,327,76,38,56,1,0,0,50,142,6,0,23,405,516,38,96,56,516,189,38,40,3,1,1,3,44,2,0,0
"Mosquito County, Florida Territory",73,3,70,3,0,0,0,73,70,0,0,0,0,0,NA,NA,NA,NA,0,0,70,73,0,0,0,73,3,0,0,0,0,0,NA,NA,NA,0,0
"Nassau County, Florida Territory",1892,943,495,459,30,16,440,984,495,30,16,468,0,0,0,0,0,1,0,60,949,954,14,908,468,954,459,14,440,0,1,1,0,0,0,2,0
"St Johns County, Florida Territory",2694,1303,925,760,121,67,412,1806,925,121,67,476,2,0,0,9,6,33,0,77,1391,1685,54,888,476,1685,760,54,412,4,1,1,165,75,0,4,113
"Walton County, Florida Territory",1461,688,634,555,41,18,116,1230,634,41,18,115,3,0,0,0,0,0,0,131,773,1189,23,231,115,1189,555,23,116,3,0,0,438,0,0,2,0
"Washington County, Florida Territory",859,386,287,217,2,1,185,506,287,2,1,168,0,0,NA,NA,NA,NA,0,9,473,504,1,353,168,504,217,1,185,0,0,0,NA,NA,NA,2,15
